0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,2,122.50,12.50,-9.50,5.50,0.81,0.61,9,103.33,16.01,4.44,11.38,0.88,0.72,5,113.60,10.05,-6.00,9.78,0.89,0.67,5,118.40,21.97,-12.20,9.04,0.88,0.73,8,122.38,25.02,-8.25,12.07,0.93,0.77,4,95.25,13.27,-11.50,4.97,0.97,0.64,3,112.33,8.73,-2.33,13.72,0.94,0.64,0,0.00,0.00,0.00,0.00,0.00,0.00,1
0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,2,117.71,20.30,-10.00,9.17,0.81,0.61,10,97.82,18.67,1.85,11.99,0.88,0.72,6,121.22,10.26,-7.18,11.46,0.90,0.70,6,120.94,23.82,-9.02,14.51,0.89,0.74,10,124.64,27.31,-5.34,12.40,0.93,0.77,4,91.94,15.14,-6.71,11.40,0.97,0.64,3,116.64,10.78,-1.78,11.66,0.94,0.64,0,0.00,0.00,0.00,0.00,0.00,0.00,1
0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,2,126.24,16.79,-5.46,6.67,0.80,0.62,11,106.11,14.00,1.19,10.64,0.88,0.73,2,45.34,8.26,-3.91,3.53,0.35,0.26,8,112.83,21.97,-4.37,14.08,0.91,0.74,11,119.46,20.01,-1.72,14.45,0.93,0.73,3,87.15,10.15,-6.54,8.74,0.96,0.64,4,107.78,7.44,-6.69,12.74,0.93,0.63,0,0.00,0.00,0.00,0.00,0.00,0.00,1
0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,2,106.11,13.92,-11.54,0.98,0.80,0.61,12,108.26,19.86,1.05,14.08,0.88,0.72,4,112.58,6.70,-2.01,7.60,0.91,0.67,8,120.93,22.00,-4.68,12.59,0.91,0.74,8,121.41,26.99,-4.52,14.67,0.93,0.74,4,87.20,17.03,-14.42,9.19,0.97,0.64,3,109.76,5.14,0.09,13.58,0.94,0.64,0,0.00,0.00,0.00,0.00,0.00,0.00,1
0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,2,116.54,15.64,-11.36,8.33,0.82,0.62,9,98.70,13.80,2.49,15.04,0.87,0.72,5,112.57,8.94,-4.77,10.83,0.89,0.66,1,47.88,9.01,-5.38,3.44,0.35,0.29,8,120.32,23.27,-9.21,10.48,0.93,0.76,4,91.31,20.24,-8.11,5.09,0.97,0.64,3,112.80,11.18,-2.00,12.65,0.95,0.65,0,0.00,0.00,0.00,0.00,0.00,0.00,1
0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,3,117.97,21.41,1.79,13.39,0.87,0.62,2,5.66,0.95,0.13,0.77,0.05,0.04,5,115.17,6.41,-5.09,12.03,0.89,0.66,8,118.81,18.94,-7.49,15.31,0.91,0.74,8,126.06,28.94,-2.93,12.63,0.93,0.75,4,98.43,19.09,-8.53,5.44,0.96,0.64,3,103.98,11.46,-2.04,15.57,0.94,0.65,0,0.00,0.00,0.00,0.00,0.00,0.00,1
0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,4,129.50,19.62,7.00,12.08,0.79,0.69,5,101.00,15.32,0.20,10.98,0.81,0.72,2,5.62,1.00,-0.29,0.42,0.06,0.04,1,136.00,0.00,-3.00,0.00,0.87,0.76,6,124.00,18.18,-3.33,11.29,0.93,0.77,5,132.80,20.53,1.80,10.80,0.95,0.69,2,98.50,18.50,-8.00,6.00,0.98,0.61,0,0.00,0.00,0.00,0.00,0.00,0.00,2
0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,5,121.96,18.47,7.73,12.45,0.83,0.70,4,99.67,10.24,2.56,14.36,0.83,0.71,4,95.86,12.68,-7.34,7.34,0.94,0.64,2,131.21,1.16,-7.26,2.93,0.93,0.78,5,124.43,19.56,-5.19,11.73,0.95,0.76,1,37.74,5.90,0.73,3.21,0.27,0.20,2,88.69,15.25,-2.42,8.67,0.98,0.61,0,0.00,0.00,0.00,0.00,0.00,0.00,2
0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,3,125.64,22.15,3.35,10.90,0.77,0.65,5,100.93,12.14,-0.83,11.23,0.81,0.72,2,85.00,0.10,-6.16,8.86,0.97,0.65,0,0.00,0.00,0.00,0.00,0.00,0.00,2,37.67,8.35,-1.00,3.51,0.26,0.21,4,130.19,14.83,1.75,10.76,0.95,0.69,2,90.70,22.44,-1.54,6.59,0.98,0.61,0,0.00,0.00,0.00,0.00,0.00,0.00,2
0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,4,133.65,19.51,8.67,10.08,0.79,0.68,5,101.82,13.65,1.99,11.37,0.82,0.72,3,100.73,16.28,-1.16,12.14,0.92,0.63,3,110.01,19.85,-7.93,4.67,0.85,0.73,2,15.01,2.36,-0.51,1.68,0.11,0.09,5,124.86,19.26,1.98,11.02,0.95,0.69,2,99.10,19.04,-6.53,8.68,0.98,0.61,0,0.00,0.00,0.00,0.00,0.00,0.00,2
